-- Insert statements for 50 customers
INSERT INTO customer (customer_id, name, email, hashed_password, phone_number, address, created_at, updated_at, last_login_at, role, is_verified) VALUES 
(51, 'John Smith', 'john.smith@email.com', '$2b$10$aB3cD4eF5gH6iJ7kL8mN9oP0qR1sT2uV3wX4yZ5', '+1234567890', '123 Main St, New York, NY 10001', NOW(), NOW(), NULL, 'customer', 't'),
(52, 'Sarah Johnson', 'sarah.johnson@email.com', '$2b$10$bC4dE5fG6hI7jK8lM9nO0pQ1rS2tU3vW4xY5zA6', '+1234567891', '456 Oak Ave, Los Angeles, CA 90210', NOW(), NOW(), NULL, 'customer', 't'),
(53, 'Michael Brown', 'michael.brown@email.com', '$2b$10$cD5eF6gH7iJ8kL9mN0oP1qR2sT3uV4wX5yZ6aB7', '+1234567892', '789 Pine Rd, Chicago, IL 60601', NOW(), NOW(), NULL, 'customer', 't'),
(54, 'Emily Davis', 'emily.davis@email.com', '$2b$10$dE6fG7hI8jK9lM0nO1pQ2rS3tU4vW5xY6zA7bC8', '+1234567893', '321 Elm St, Houston, TX 77001', NOW(), NOW(), NULL, 'customer', 't'),
(55, 'David Wilson', 'david.wilson@email.com', '$2b$10$eF7gH8iJ9kL0mN1oP2qR3sT4uV5wX6yZ7aB8cD9', '+1234567894', '654 Maple Dr, Phoenix, AZ 85001', NOW(), NOW(), NULL, 'customer', 't'),
(56, 'Jessica Miller', 'jessica.miller@email.com', '$2b$10$fG8hI9jK0lM1nO2pQ3rS4tU5vW6xY7zA8bC9dE0', '+1234567895', '987 Cedar Ln, Philadelphia, PA 19101', NOW(), NOW(), NULL, 'customer', 't'),
(57, 'Christopher Garcia', 'christopher.garcia@email.com', '$2b$10$gH9iJ0kL1mN2oP3qR4sT5uV6wX7yZ8aB9cD0eF1', '+1234567896', '147 Birch Ave, San Antonio, TX 78201', NOW(), NOW(), NULL, 'customer', 't'),
(58, 'Amanda Martinez', 'amanda.martinez@email.com', '$2b$10$hI0jK1lM2nO3pQ4rS5tU6vW7xY8zA9bC0dE1fG2', '+1234567897', '258 Spruce St, San Diego, CA 92101', NOW(), NOW(), NULL, 'customer', 't'),
(59, 'Matthew Rodriguez', 'matthew.rodriguez@email.com', '$2b$10$iJ1kL2mN3oP4qR5sT6uV7wX8yZ9aB0cD1eF2gH3', '+1234567898', '369 Willow Rd, Dallas, TX 75201', NOW(), NOW(), NULL, 'customer', 't'),
(60, 'Ashley Lopez', 'ashley.lopez@email.com', '$2b$10$jK2lM3nO4pQ5rS6tU7vW8xY9zA0bC1dE2fG3hI4', '+1234567899', '741 Ash Dr, San Jose, CA 95101', NOW(), NOW(), NULL, 'customer', 't'),
(61, 'Joshua Gonzalez', 'joshua.gonzalez@email.com', '$2b$10$kL3mN4oP5qR6sT7uV8wX9yZ0aB1cD2eF3gH4iJ5', '+1234567800', '852 Cherry Ln, Austin, TX 73301', NOW(), NOW(), NULL, 'customer', 't'),
